pheno	h2(add)	h2(add)_se	h2(dom)	h2(dom)_se	h2(AD)	h2(AD)_se	h2(add)_sig	h2(dom)_sig	h2(AD)_sig	h2(het)	h2(het)_se	h2(hom)	h2(hom)_se	Cov(hh)	Cov(hh)_se	hom/het	hom/het_se	h2(FACTOR)	h2(FACTOR)_se	h2(het)_sig	h2(hom)_sig	h2(FACTOR)_sig	Cov(hh)_sig	hom/het_sig
Arm_fat_mass__right_	0.1826039556628465	0.010810854260696551	-0.07588057102070851	0.012070550897921846	0.106723384642138	0.014972261684718349	True	True	True	0.07175131560727342	0.013003660846717774	0.14538656541610787	0.017933647010182338	0.41392628767207473	0.07611823974465237	2.0262564412319994	0.485543052403257	0.21713788102338127	0.019826080925864176	True	True	True	True	True
Mean_corpuscular_haemoglobin	0.25319543320440735	0.01058698677707119	0.030134827721616686	0.012515380480075838	0.28333026092602404	0.01361727868424228	True	True	True	0.14537058300044198	0.01207186823484447	0.1900361841243041	0.01657145092837848	0.2792348634597573	0.038694013789643086	1.3072533672354214	0.18213404504491726	0.33540676712474604	0.01687179624052094	True	True	True	True	True
Triglycerides	0.14850873828677372	0.011718854059285917	-0.1413334220096557	0.012629102450865258	0.00717531627711801	0.016860099268687475	True	True	False	0.06572760169548858	0.012824063299859698	0.13772294388270792	0.017625096091261415	0.21189701729954127	0.06556819662303476	2.0953593365656147	0.5309439927517092	0.2034505455781965	0.01966564870448951	True	True	True	True	True
Neuroticism_score	0.08757876725257438	0.014007590882426412	-0.15674151467309572	0.01240459945428883	-0.06916274742052134	0.019537750644320392	True	True	True	0.02491055983400002	0.014865663291920277	0.09788736228046381	0.020629221489224383	-0.41965231594818503	0.1730535308215086	3.9295528857147133	2.5691938368256015	0.12279792211446383	0.024101357675478764	False	True	True	True	False
Cholesterol	0.08042880498167349	0.010851956168506215	0.0111955561287113	0.012939981478989428	0.09162436111038479	0.015992152466072888	True	False	True	0.0616117584078616	0.013418808510995747	0.06860895875743886	0.01964549634603064	0.25289344984432366	0.10424035302480006	1.1135692363015632	0.42683689434513455	0.13022071716530045	0.022182152811299614	True	True	True	True	True
Forced_vital_capacity__FVC__Z-score	0.16663003029424897	0.012384290425455751	0.031835780120493	0.014915760253290502	0.19846581041474198	0.01714013003027306	True	True	True	0.09915996920291303	0.014975997970545963	0.13741738928773187	0.021056724438695447	0.035548824196153794	0.050839204608513204	1.3858151670714207	0.33242236913254786	0.2365773584906449	0.022679631517197835	True	True	True	True	True
Impedance_of_whole_body	0.2619969995969066	0.011497738742583436	-0.13809202355624015	0.012246238949407002	0.12390497604066644	0.015062417279007537	True	True	True	0.1176771570480345	0.01183240764168806	0.18598801952151395	0.01589110042165068	0.28990372940980813	0.043053514860436334	1.580493820441258	0.2373850999704721	0.30366517656954845	0.01672867386709127	True	True	True	True	True
Aspartate_aminotransferase	0.10611675936002977	0.012240583231987848	-0.11477824509935966	0.01205999469857016	-0.008661485739329886	0.0172057313321018	True	True	False	0.0463928877938516	0.014351002906165217	0.04781405749413011	0.021386248510332603	0.6201477167633611	0.2234867412301686	1.03063335282325	0.5869025169121975	0.09420694528798171	0.024495437375298967	True	True	True	False	True
Neutrophill_count	0.12586884548922486	0.010780091849196035	-0.05311063774504341	0.012607535369135007	0.07275820774418146	0.015703699857260667	True	True	True	0.026631618627541872	0.013160963296344561	0.12966451284651864	0.017601464788999273	-0.5712026111134562	0.16952990315407368	4.8688183268148135	2.5797491470559706	0.15629613147406052	0.020506938317279514	True	True	True	True	False
Arm_predicted_mass__right_	0.24055240585274945	0.010951052303119761	-0.10552684032735031	0.012699578494368565	0.13502556552539913	0.014885842400074676	True	True	True	0.07632141775965949	0.011997853362066135	0.19480357394575756	0.01583485360132357	0.42016580663903325	0.06181971911789662	2.5524103150075796	0.49603308395434	0.27112499170541704	0.017286592465998552	True	True	True	True	True
Arm_fat-free_mass__left_	0.2260502746429199	0.010539274568779974	-0.06406240585920439	0.012454559523602199	0.16198786878371552	0.014372074565004844	True	True	True	0.07367412561794447	0.012123889769091373	0.19650069570074688	0.015848098034575445	0.4295051356360151	0.06377595273652578	2.667160201123393	0.534983961597689	0.27017482131869136	0.01737546259188242	True	True	True	True	True
Trunk_fat-free_mass	0.26158629331166	0.010230977752379336	-0.002391913082084556	0.012349610810983515	0.25919438022957547	0.013330499961609997	True	False	True	0.09912455049248298	0.011855803866056922	0.2280699151203252	0.015400790423346444	0.30576877221856713	0.04284527377366569	2.300841859934797	0.35494338298592487	0.3271944656128082	0.0163163263133439	True	True	True	True	True
Eosinophill_count	0.20595586571497854	0.012099836103242041	-0.21202151127849928	0.011999819412724334	-0.0060656455635207385	0.016748048100358542	True	True	False	0.06476878447484702	0.012270793477545953	0.16209209084844428	0.016571684353622308	0.2952463378412515	0.06405387687944766	2.502626723084371	0.5845904872574609	0.2268608753232913	0.01840937771979346	True	True	True	True	True
Potassium_in_urine	0.02087624623619127	0.013741067697812411	-0.2743744291606661	0.01368000754854326	-0.25349818292447485	0.0217278195211818	False	True	True	0.013449985309013562	0.013390009362383952	0.05293739933547383	0.01871855697421996	-1.532428870051787	0.8397286356155941	3.935870420616565	4.232635923714745	0.0663873846444874	0.022381809277236455	False	True	True	True	False
White_blood_cell__leukocyte__count	0.1545584625020641	0.010364171434720564	-0.00155908353439995	0.012587260582210744	0.15299937896766413	0.014736593516428427	True	False	True	0.05461735067288116	0.012847808963685602	0.13741158874508064	0.017514510086238565	0.5101406927107551	0.09980581794405462	2.515896268350285	0.7219429072205121	0.19202893941796179	0.019775284811042945	True	True	True	True	True
Lymphocyte_count	0.19690093076554088	0.010896466892547592	-0.0673769894747641	0.011063504733500023	0.12952394129077677	0.014302795603494954	True	True	True	0.09102060966739794	0.013295971840018855	0.12405286299480885	0.019064124517986867	0.153161002637721	0.05232154455973312	1.3629096030900625	0.31947962209325564	0.21507347266220678	0.020673404786941164	True	True	True	True	True
Total_bilirubin	0.3291465705215477	0.011768274891612833	-0.01667049276346971	0.013340562709351926	0.312476077758078	0.014181106444073695	True	False	True	0.07541199624576289	0.01583519797536177	0.16633513954092755	0.022015944698098183	0.6016365636072426	0.10120334154820079	2.205685405792096	0.6014341576954939	0.24174713578669044	0.023992726844939003	True	True	True	True	True
